name,category,website,phone,address,mapsUrl,rating,reviews,priority,email,notes,websiteScore
"FRANK Legal & Tax","law firm","http://franklegaltax.com/","+66 2 026 3284","2, 10th Floor, Sindhorn Building, 130, 132 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJdX-ISNye4jARkKkgpHbO4FY","4.4","42","NORMAL","","","8"
"Anglo-Thai Legal (ATL)","law firm","http://www.anglothailegal.com/","+66 2 714 2968","133 Ban Kluai Nuea Alley, Klongton Nua, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ-ysQIFCe4jARpkK70QSKfYM","4.4","28","NORMAL","","","7"
"Mahanakorn Partners Group","law firm","http://mahanakornpartners.com/","+66 2 651 5107","Kian Gwan House III, 9th Floor, Lumpini, 152 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJxXTVo9ie4jARr781KP6jpOY","4.9","67","NORMAL","","","8"
"Chaninat & Leeds","law firm","http://www.chaninatandleeds.com/","+66 2 168 7001","Trendy office, 10/154 18th floor, Soi Sukhumvit 13, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJPzcn2OWe4jARyhHeQr5RWO0","4.8","73","NORMAL","","","8"
"Max Law Firm - One Bangkok","law firm","https://maxlawfirm.co.th/","+66 2 255 5515","Entrance 3, One Bangkok, Tower 4, 195 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ1xEDXguf4jAR_uXRLrl6Xqg","5","1","HIGH","","",""
"Themis Partner Thailand","law firm","https://thailand.themispartner.com/","","P23 Building, 11/2 Soi Sukhumvit 23, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJz75i7Caf4jARqyfEPpD5JHE","4.9","65","NORMAL","","","9"
"Siam Attorney","law firm","https://www.siam-attorney.com/","+66 2 182 9770","399 Interchange 21 Building, 33 Floor Room no. 3322, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ2dhpzeKe4jARG5tdp5Vhv80","5","47","NORMAL","","","10"
"Juslaws & Consult","law firm","https://www.juslaws.com/","+66 94 218 4278","140 One Pacific Place, Suite 1905-1907, 19th Floor, Sukhumvit Rd, Klongtoey, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJGyDQZCue4jARAvKE2rwPoI8","4.2","123","NORMAL","","","9"
"Siam Legal International (Bangkok Office)","law firm","https://www.siam-legal.com/","+66 2 254 8900","18th Floor, Unit 1806 Two Pacific Place, 142 Sukhumvit Rd, Khlong Toei, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJfy8kH-Oe4jARIYMbuDlhne4","4.8","1697","NORMAL","","","10"
"Bangkok Business Lawyer","law firm","https://www.bangkokbusinesslawyer.com/","+66 93 474 9156","ชั้น 1, Nasa Street Mall, ยูนิต L1-A03, 99 Ramkhamhaeng Rd, Suan Luang, Bangkok 10250, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJNTH4cz6f4jAR1Cl_Hn-GTBc","5","1","NORMAL","","","10"
